# alpha1,beta1,alpha2,beta2
-3.504563,-0.106022,-0.660740,-0.038586
4.527166,-0.078325,4.412672,-0.046496
-2.248521,-0.077006,-1.462234,-0.046520
-5.606326,-0.119755,-3.901563,-0.043978
-0.183400,-0.108920,-2.958829,-0.045486
-1.752500,-0.097704,-2.346271,-0.048860
-1.865714,-0.081891,-0.476193,-0.042999
-5.858053,-0.110106,-2.987375,-0.059962
-5.308297,-0.079494,-3.072986,-0.047852
1.183564,-0.099798,4.258229,-0.058552
-3.772758,-0.094136,-2.611290,-0.044819
-3.465372,-0.112961,-0.485391,-0.059920
4.036281,-0.103979,1.244221,-0.070129
-4.239858,-0.113327,-4.215809,-0.049911
-3.054037,-0.098541,-2.267384,-0.045703
-0.791215,-0.089051,-3.031683,-0.049556
-2.377861,-0.102074,-3.190171,-0.051558
0.667236,-0.122085,0.770243,-0.053047
-1.254216,-0.092588,-3.819263,-0.034492
-3.589422,-0.094471,-2.732212,-0.056479
-3.199786,-0.135844,-3.542037,-0.069244
1.257642,-0.095301,-1.876817,-0.034996
-1.661424,-0.095913,0.447356,-0.058207
1.773008,-0.099460,1.545594,-0.038762
-1.338344,-0.073032,-1.023276,-0.038806
-3.002021,-0.098175,-2.615870,-0.041148
2.802216,-0.082842,1.108190,-0.043449
-5.724729,-0.107717,-2.759971,-0.066093
0.566413,-0.127827,2.570060,-0.057319
-0.659008,-0.108688,-2.930865,-0.037240
-5.700691,-0.087552,-3.507801,-0.038281
0.692864,-0.082173,-2.197302,-0.039861
-1.448824,-0.126423,0.610441,-0.054762
2.586037,-0.105861,0.951984,-0.065691
3.563946,-0.131386,0.486636,-0.060579
-2.478677,-0.082673,-3.194255,-0.049675
-6.485505,-0.114891,-4.025115,-0.055823
-5.251754,-0.137536,-2.265928,-0.060369
-0.464789,-0.109890,-2.641699,-0.035944
4.776731,-0.117691,4.628207,-0.046302
1.110516,-0.132305,1.454041,-0.061643
5.948116,-0.117188,3.704184,-0.062350
-5.738037,-0.095088,-4.472030,-0.057977
5.701232,-0.075429,4.524015,-0.036939
0.683991,-0.107532,3.428904,-0.036058
-3.262277,-0.107689,-1.869436,-0.037140
-5.244371,-0.108396,-2.854115,-0.047776
3.805547,-0.083502,3.397972,-0.035660
-2.100239,-0.118156,-3.333546,-0.071003
-4.277472,-0.074128,-2.165492,-0.038604
-1.219084,-0.113984,0.658719,-0.064556
6.993478,-0.093161,4.522635,-0.038587
-3.272900,-0.071938,-0.945230,-0.039273
2.514524,-0.092827,2.194076,-0.051843
-4.479770,-0.107560,-1.353196,-0.051885
-3.265011,-0.143367,-0.137241,-0.071078
