clx_x,clx_y,clx_z,tgt_x,tgt_y,tgt_z
-0.0292966137,0.0538208580,0.1967986572,-0.0016314362,0.0490222816,0.1852879181
-0.0292966137,0.0538208580,0.1967986572,-0.0064697571,0.0503172455,0.1857788849
-0.0292966137,0.0538208580,0.1967986572,-0.0015987250,0.0547721291,0.1894956818
-0.0292966137,0.0538208580,0.1967986572,-0.0065340776,0.0565416603,0.1899782257
-0.0292966137,0.0538208580,0.1967986572,-0.0075305014,0.0517413750,0.1937882843
-0.0292966137,0.0538208580,0.1967986572,-0.0068968101,0.0505725937,0.1949972687
-0.0292966137,0.0538208580,0.1967986572,-0.0050462370,0.0490494080,0.1864901886
-0.0292966137,0.0538208580,0.1967986572,-0.0068636775,0.0547138557,0.1950041046
-0.0292966137,0.0538208580,0.1967986572,-0.0044802575,0.0508536644,0.1971009064
-0.0292966137,0.0538208580,0.1967986572,-0.0066246643,0.0527073441,0.1951785431
-0.0292966137,0.0538208580,0.1967986572,0.0001462877,0.0484155540,0.1921170197
-0.0292966137,0.0538208580,0.1967986572,-0.0032060165,0.0491765594,0.1938301544
-0.0292966137,0.0538208580,0.1967986572,-0.0006447288,0.0530267715,0.1854202423
-0.0292966137,0.0538208580,0.1967986572,-0.0008782772,0.0513038254,0.1922306671
-0.0292966137,0.0538208580,0.1967986572,-0.0049140668,0.0550594902,0.1968920441
-0.0292966137,0.0538208580,0.1967986572,-0.0003499231,0.0526958046,0.1858534698
-0.0292966137,0.0538208580,0.1967986572,-0.0054185390,0.0523725700,0.1843471222
-0.0292966137,0.0538208580,0.1967986572,-0.0061944609,0.0571704979,0.1983061066
-0.0292966137,0.0538208580,0.1967986572,-0.0028354011,0.0529913139,0.1946852570
-0.0292966137,0.0538208580,0.1967986572,-0.0008617883,0.0495302048,0.1925230255
-0.0292966137,0.0538208580,0.1967986572,-0.0015878125,0.0472055817,0.1901040802
-0.0292966137,0.0538208580,0.1967986572,-0.0073988390,0.0539940376,0.1943616486
-0.0292966137,0.0538208580,0.1967986572,-0.0075489011,0.0546249504,0.1883676300
-0.0292966137,0.0538208580,0.1967986572,-0.0041394529,0.0505394173,0.1953076935
-0.0292966137,0.0538208580,0.1967986572,-0.0034627323,0.0528738594,0.1982967072
-0.0292966137,0.0538208580,0.1967986572,-0.0024830644,0.0532932968,0.1940550079
-0.0292966137,0.0538208580,0.1967986572,-0.0075514569,0.0517542763,0.1934987335
-0.0292966137,0.0538208580,0.1967986572,-0.0031727459,0.0553455963,0.1919470978
-0.0292966137,0.0538208580,0.1967986572,-0.0072565050,0.0560931435,0.1906945343
-0.0292966137,0.0538208580,0.1967986572,-0.0047155614,0.0562067680,0.1989286652
-0.0292966137,0.0538208580,0.1967986572,-0.0074485555,0.0507821388,0.1873273468
-0.0292966137,0.0538208580,0.1967986572,-0.0044808340,0.0524951973,0.2002399445
-0.0292966137,0.0538208580,0.1967986572,-0.0060238476,0.0541134605,0.1851637726
-0.0292966137,0.0538208580,0.1967986572,-0.0075358200,0.0511340981,0.1910657501
-0.0292966137,0.0538208580,0.1967986572,0.0016732943,0.0494375191,0.1901851349
-0.0292966137,0.0538208580,0.1967986572,-0.0045537782,0.0493349686,0.1949572296
-0.0292966137,0.0538208580,0.1967986572,0.0004477716,0.0499223862,0.1917281036
-0.0292966137,0.0538208580,0.1967986572,-0.0061896758,0.0522269516,0.1845740509
-0.0292966137,0.0538208580,0.1967986572,-0.0013119056,0.0470389709,0.1905974884
-0.0292966137,0.0538208580,0.1967986572,-0.0019280750,0.0471355133,0.1908693390
-0.0292966137,0.0538208580,0.1967986572,-0.0002312814,0.0545045776,0.1897786407
-0.0292966137,0.0538208580,0.1967986572,-0.0066233130,0.0564830017,0.1924105988
-0.0292966137,0.0538208580,0.1967986572,-0.0016678739,0.0512514229,0.1929953156
-0.0292966137,0.0538208580,0.1967986572,-0.0031631589,0.0505467224,0.1842072296
-0.0292966137,0.0538208580,0.1967986572,-0.0055819063,0.0507895241,0.1997670441
-0.0292966137,0.0538208580,0.1967986572,-0.0004950712,0.0494666595,0.1861681671
-0.0292966137,0.0538208580,0.1967986572,0.0004575308,0.0524455147,0.1874906769
-0.0292966137,0.0538208580,0.1967986572,-0.0053577552,0.0568838310,0.1986200714
-0.0292966137,0.0538208580,0.1967986572,-0.0072803693,0.0538927879,0.1946002960
-0.0292966137,0.0538208580,0.1967986572,0.0011439075,0.0482420731,0.1892337189
-0.0292966137,0.0538208580,0.1967986572,-0.0043031383,0.0475644760,0.1911381378
-0.0292966137,0.0538208580,0.1967986572,0.0005021440,0.0494689064,0.1878310089
-0.0292966137,0.0538208580,0.1967986572,-0.0065003595,0.0563243675,0.1885730743
-0.0292966137,0.0538208580,0.1967986572,-0.0007720109,0.0540438652,0.1856706085
-0.0292966137,0.0538208580,0.1967986572,-0.0065141463,0.0545686760,0.1858659210
-0.0292966137,0.0538208580,0.1967986572,-0.0071408582,0.0560083313,0.1932941437
-0.0292966137,0.0538208580,0.1967986572,-0.0013423363,0.0549489555,0.1887845001
-0.0292966137,0.0538208580,0.1967986572,0.0005283923,0.0511106186,0.1914865265
-0.0292966137,0.0538208580,0.1967986572,-0.0004846322,0.0528625450,0.1856420441
-0.0292966137,0.0538208580,0.1967986572,-0.0075645809,0.0540751915,0.1896092072
-0.0292966137,0.0538208580,0.1967986572,-0.0045121255,0.0477961807,0.1897606964
