clx_x,clx_y,clx_z,tgt_x,tgt_y,tgt_z
0.0292966137,-0.0538208580,0.1967986572,0.0002673219,0.0502422180,0.1872830353
0.0292966137,-0.0538208580,0.1967986572,-0.0004690296,0.0516465836,0.1855846710
0.0292966137,-0.0538208580,0.1967986572,-0.0050153503,0.0500855751,0.1980074005
0.0292966137,-0.0538208580,0.1967986572,-0.0060410252,0.0505379448,0.1852550812
0.0292966137,-0.0538208580,0.1967986572,0.0021700473,0.0518603363,0.1896107941
0.0292966137,-0.0538208580,0.1967986572,-0.0062729902,0.0498571014,0.1984706573
0.0292966137,-0.0538208580,0.1967986572,-0.0026533334,0.0525295448,0.1945080109
0.0292966137,-0.0538208580,0.1967986572,-0.0010008949,0.0541404076,0.1906785431
0.0292966137,-0.0538208580,0.1967986572,-0.0009804472,0.0528168526,0.1849734650
0.0292966137,-0.0538208580,0.1967986572,-0.0057827778,0.0515177269,0.1845731964
0.0292966137,-0.0538208580,0.1967986572,-0.0046364298,0.0505317230,0.1972303009
0.0292966137,-0.0538208580,0.1967986572,-0.0031723931,0.0498180847,0.1845314484
0.0292966137,-0.0538208580,0.1967986572,-0.0012223004,0.0530668488,0.1847967072
0.0292966137,-0.0538208580,0.1967986572,-0.0072503948,0.0560937538,0.1909973907
0.0292966137,-0.0538208580,0.1967986572,-0.0075388579,0.0517307129,0.1872050323
0.0292966137,-0.0538208580,0.1967986572,-0.0038837099,0.0546931839,0.1977235870
0.0292966137,-0.0538208580,0.1967986572,-0.0047567668,0.0477614746,0.1921514435
0.0292966137,-0.0538208580,0.1967986572,-0.0052219534,0.0497422371,0.1855337677
0.0292966137,-0.0538208580,0.1967986572,-0.0013146509,0.0551776505,0.1876321564
0.0292966137,-0.0538208580,0.1967986572,-0.0009842510,0.0510057831,0.1849413605
0.0292966137,-0.0538208580,0.1967986572,0.0015978200,0.0494182434,0.1892271271
0.0292966137,-0.0538208580,0.1967986572,-0.0068733764,0.0512937469,0.1998236847
0.0292966137,-0.0538208580,0.1967986572,-0.0016481231,0.0550137215,0.1865819855
0.0292966137,-0.0538208580,0.1967986572,-0.0036303678,0.0546699142,0.1851836700
0.0292966137,-0.0538208580,0.1967986572,0.0009609965,0.0484097595,0.1889118195
0.0292966137,-0.0538208580,0.1967986572,-0.0071598253,0.0555275154,0.1877365265
0.0292966137,-0.0538208580,0.1967986572,-0.0043770032,0.0555804253,0.1880670929
0.0292966137,-0.0538208580,0.1967986572,-0.0075241847,0.0529042053,0.1923155060
0.0292966137,-0.0538208580,0.1967986572,0.0017176495,0.0499682465,0.1892201691
0.0292966137,-0.0538208580,0.1967986572,-0.0042396436,0.0546010857,0.1971250763
0.0292966137,-0.0538208580,0.1967986572,0.0019139341,0.0526472054,0.1887708282
0.0292966137,-0.0538208580,0.1967986572,-0.0067047596,0.0572624245,0.1997199249
0.0292966137,-0.0538208580,0.1967986572,-0.0030838807,0.0542956581,0.1944579620
0.0292966137,-0.0538208580,0.1967986572,-0.0072643533,0.0550066071,0.1997105255
0.0292966137,-0.0538208580,0.1967986572,-0.0061754761,0.0573488541,0.1986109161
0.0292966137,-0.0538208580,0.1967986572,-0.0046055946,0.0552357750,0.1868968048
0.0292966137,-0.0538208580,0.1967986572,-0.0042582412,0.0557328796,0.1888871613
0.0292966137,-0.0538208580,0.1967986572,-0.0075365686,0.0546470146,0.1935093536
0.0292966137,-0.0538208580,0.1967986572,-0.0043834748,0.0542703590,0.1847980499
0.0292966137,-0.0538208580,0.1967986572,-0.0071087580,0.0536369934,0.1999251251
0.0292966137,-0.0538208580,0.1967986572,-0.0075198383,0.0551663589,0.1916587677
0.0292966137,-0.0538208580,0.1967986572,-0.0019029025,0.0488907661,0.1928589630
0.0292966137,-0.0538208580,0.1967986572,-0.0045512223,0.0483872643,0.1880615997
0.0292966137,-0.0538208580,0.1967986572,0.0002758246,0.0540011902,0.1875093536
0.0292966137,-0.0538208580,0.1967986572,-0.0045498624,0.0544637070,0.1968507843
0.0292966137,-0.0538208580,0.1967986572,-0.0073590708,0.0490538750,0.1912095490
0.0292966137,-0.0538208580,0.1967986572,-0.0051919270,0.0477595825,0.1918003693
0.0292966137,-0.0538208580,0.1967986572,-0.0031137176,0.0476944923,0.1894567413
0.0292966137,-0.0538208580,0.1967986572,0.0020311301,0.0537025032,0.1887694855
0.0292966137,-0.0538208580,0.1967986572,0.0012703979,0.0527195282,0.1882845001
0.0292966137,-0.0538208580,0.1967986572,-0.0032292783,0.0502077675,0.1946466827
0.0292966137,-0.0538208580,0.1967986572,0.0018588388,0.0509512024,0.1891461945
0.0292966137,-0.0538208580,0.1967986572,0.0018627114,0.0503013420,0.1893946075
0.0292966137,-0.0538208580,0.1967986572,-0.0068924212,0.0540368004,0.1970906525
0.0292966137,-0.0538208580,0.1967986572,-0.0072901454,0.0562893562,0.1979125519
0.0292966137,-0.0538208580,0.1967986572,-0.0017528749,0.0470909157,0.1911308136
0.0292966137,-0.0538208580,0.1967986572,-0.0012490821,0.0506554871,0.1847611847
0.0292966137,-0.0538208580,0.1967986572,-0.0055749183,0.0564954185,0.1930811310
0.0292966137,-0.0538208580,0.1967986572,-0.0075323000,0.0511336746,0.1898701935
0.0292966137,-0.0538208580,0.1967986572,-0.0037178557,0.0509753761,0.1952265167
0.0292966137,-0.0538208580,0.1967986572,0.0004471176,0.0544737091,0.1879927521
0.0292966137,-0.0538208580,0.1967986572,-0.0040194945,0.0493668556,0.1946959991
0.0292966137,-0.0538208580,0.1967986572,0.0011505169,0.0500157547,0.1911427765
