clx_x,clx_y,clx_z,tgt_x,tgt_y,tgt_z
-0.0292966137,0.0538208580,0.1967986572,-0.0000289554,0.0517482529,0.1865471954
-0.0292966137,0.0538208580,0.1967986572,-0.0001090596,0.0501181030,0.1865879669
-0.0292966137,0.0538208580,0.1967986572,-0.0023191123,0.0484809227,0.1876422882
-0.0292966137,0.0538208580,0.1967986572,-0.0041780767,0.0487856674,0.1866740265
-0.0292966137,0.0538208580,0.1967986572,-0.0047115684,0.0488946381,0.1866625519
-0.0292966137,0.0538208580,0.1967986572,-0.0049986544,0.0491418800,0.1862442169
-0.0292966137,0.0538208580,0.1967986572,-0.0038461792,0.0490377388,0.1855634308
-0.0292966137,0.0538208580,0.1967986572,-0.0019720428,0.0486843262,0.1857426300
-0.0292966137,0.0538208580,0.1967986572,-0.0016314362,0.0490222816,0.1852879181
-0.0292966137,0.0538208580,0.1967986572,-0.0029223900,0.0513649445,0.1840921173
-0.0292966137,0.0538208580,0.1967986572,-0.0028817356,0.0535793076,0.1842301788
-0.0292966137,0.0538208580,0.1967986572,-0.0036018648,0.0539376259,0.1843953400
-0.0292966137,0.0538208580,0.1967986572,-0.0039809659,0.0545086136,0.1849947052
-0.0292966137,0.0538208580,0.1967986572,-0.0044962816,0.0525961304,0.1841428986
-0.0292966137,0.0538208580,0.1967986572,-0.0057151952,0.0508326988,0.1848445587
-0.0292966137,0.0538208580,0.1967986572,-0.0059959645,0.0508287315,0.1849928741
-0.0292966137,0.0538208580,0.1967986572,-0.0066687350,0.0511585541,0.1852080841
-0.0292966137,0.0538208580,0.1967986572,-0.0072351966,0.0514621468,0.1856552277
-0.0292966137,0.0538208580,0.1967986572,-0.0073908782,0.0514002953,0.1861044464
-0.0292966137,0.0538208580,0.1967986572,-0.0070669069,0.0504430656,0.1863285675
-0.0292966137,0.0538208580,0.1967986572,-0.0060775919,0.0495101013,0.1864438019
-0.0292966137,0.0538208580,0.1967986572,-0.0061742539,0.0489386215,0.1876371613
-0.0292966137,0.0538208580,0.1967986572,-0.0057444124,0.0482389603,0.1890165558
-0.0292966137,0.0538208580,0.1967986572,-0.0069594274,0.0492659492,0.1880956573
-0.0292966137,0.0538208580,0.1967986572,-0.0075352087,0.0517060509,0.1889696808
-0.0292966137,0.0538208580,0.1967986572,-0.0074989519,0.0500363808,0.1899369659
