T1,T2,T3,R1,R2,R3
-0.131,-0.061,0,1.5708,1.5708,0
-0.130992,-0.0609976,0,1.57051,1.57039,0
-0.130984,-0.0609952,0,1.57022,1.56998,0
-0.130981,-0.0609945,0,1.57021,1.56948,0
-0.130978,-0.0609938,0,1.5702,1.56898,0
-0.130969,-0.060993,0,1.5697,1.56898,0
-0.13096,-0.0609922,0,1.5692,1.56897,0
-0.13095,-0.0609721,0,1.56875,1.56875,0
-0.130939,-0.060952,0,1.5683,1.56853,0
-0.130903,-0.0609455,0,1.56791,1.56884,0
-0.130867,-0.0609389,0,1.56752,1.56915,0
-0.130854,-0.0609373,0,1.56703,1.56908,0
-0.130841,-0.0609356,0,1.56653,1.569,0
-0.13083,-0.0609305,0,1.56614,1.56869,0
-0.130819,-0.0609253,0,1.56575,1.56838,0
-0.130816,-0.0609223,0,1.56528,1.56821,0
-0.130813,-0.0609192,0,1.56481,1.56804,0
-0.130795,-0.0609191,0,1.56455,1.56761,0
-0.130776,-0.0609191,0,1.56428,1.56719,0
-0.130743,-0.0609074,0,1.56389,1.56688,0
-0.13071,-0.0608958,0,1.5635,1.56657,0
-0.130683,-0.0608849,0,1.56301,1.56656,0
-0.130655,-0.060874,0,1.56251,1.56655,0
-0.130649,-0.0608732,0,1.56219,1.56615,0
-0.130644,-0.0608725,0,1.56188,1.56576,0
-0.130641,-0.0608714,0,1.56154,1.5654,0
-0.130639,-0.0608702,0,1.5612,1.56503,0
-0.130631,-0.0608678,0,1.56091,1.56462,0
-0.130624,-0.0608654,0,1.56062,1.56422,0
-0.130618,-0.0608618,0,1.56017,1.564,0
-0.130612,-0.0608583,0,1.55972,1.56379,0
-0.130611,-0.0608551,0,1.55953,1.56333,0
-0.130611,-0.060852,0,1.55934,1.56287,0
-0.130612,-0.0608503,0,1.55901,1.56249,0
-0.130613,-0.0608485,0,1.55868,1.56212,0
-0.130614,-0.0608423,0,1.55843,1.56168,0
-0.130615,-0.0608361,0,1.55819,1.56125,0
-0.130612,-0.0608351,0,1.55832,1.56077,0
-0.13061,-0.0608342,0,1.55846,1.56029,0
-0.130589,-0.0608308,0,1.55798,1.56014,0
-0.130567,-0.0608274,0,1.5575,1.56,0
-0.13057,-0.0608208,0,1.55754,1.5595,0
-0.130572,-0.0608141,0,1.55757,1.559,0
-0.13056,-0.0608118,0,1.55762,1.5585,0
-0.130548,-0.0608094,0,1.55766,1.55801,0
-0.130535,-0.060805,0,1.55768,1.55751,0
-0.130522,-0.0608005,0,1.55769,1.55701,0
-0.130519,-0.0607964,0,1.55733,1.55665,0
-0.130516,-0.0607924,0,1.55698,1.5563,0
-0.130514,-0.0607861,0,1.55648,1.55628,0
-0.130512,-0.0607799,0,1.55598,1.55626,0
-0.130508,-0.0607781,0,1.55563,1.5559,0
-0.130504,-0.0607763,0,1.55529,1.55554,0
-0.130483,-0.0607701,0,1.55493,1.55519,0
-0.130463,-0.0607639,0,1.55457,1.55484,0
-0.130449,-0.0607633,0,1.55408,1.55496,0
-0.130435,-0.0607626,0,1.55359,1.55507,0
-0.130419,-0.0607526,0,1.55325,1.55471,0
-0.130404,-0.0607425,0,1.55291,1.55434,0
-0.130387,-0.0607267,0,1.55258,1.55396,0
-0.13037,-0.060711,0,1.55225,1.55359,0
-0.130374,-0.0607107,0,1.55176,1.55356,0
-0.130377,-0.0607104,0,1.55126,1.55352,0
-0.130378,-0.0607099,0,1.55085,1.55324,0
