T1,T2,T3,R1,R2,R3
-0.130967,-0.0609905,0,-1.53486,-1.53481,0
-0.130956,-0.0609826,0,-1.53447,-1.53449,0
-0.130941,-0.0609795,0,-1.53402,-1.53428,0
-0.130926,-0.0609764,0,-1.53357,-1.53407,0
-0.130927,-0.0609732,0,-1.53357,-1.53357,0
-0.130928,-0.06097,0,-1.53356,-1.53307,0
-0.13093,-0.0609656,0,-1.53337,-1.53261,0
-0.130931,-0.0609612,0,-1.53317,-1.53216,0
-0.130911,-0.0609581,0,-1.53315,-1.53166,0
-0.130891,-0.0609551,0,-1.53314,-1.53116,0
-0.130888,-0.0609423,0,-1.53271,-1.5309,0
-0.130885,-0.0609295,0,-1.53229,-1.53064,0
-0.130878,-0.0609253,0,-1.53187,-1.53035,0
-0.13087,-0.0609211,0,-1.53146,-1.53007,0
-0.130862,-0.0609141,0,-1.53114,-1.52968,0
-0.130853,-0.060907,0,-1.53083,-1.5293,0
-0.130846,-0.0609044,0,-1.53052,-1.52891,0
-0.13084,-0.0609018,0,-1.5302,-1.52852,0
-0.130842,-0.060896,0,-1.53021,-1.52802,0
-0.130844,-0.0608903,0,-1.53023,-1.52752,0
-0.130846,-0.0608784,0,-1.52993,-1.52711,0
-0.130849,-0.0608664,0,-1.52964,-1.52671,0
-0.130842,-0.0608627,0,-1.52939,-1.52628,0
-0.130836,-0.0608589,0,-1.52914,-1.52584,0
-0.130829,-0.0608557,0,-1.52904,-1.52535,0
-0.130821,-0.0608526,0,-1.52893,-1.52486,0
-0.130823,-0.0608485,0,-1.52855,-1.52455,0
-0.130825,-0.0608445,0,-1.52816,-1.52423,0
-0.13082,-0.0608412,0,-1.52781,-1.52388,0
-0.130816,-0.0608378,0,-1.52745,-1.52353,0
-0.130812,-0.0608268,0,-1.52697,-1.5234,0
-0.130808,-0.0608157,0,-1.52648,-1.52327,0
-0.130799,-0.0608142,0,-1.52651,-1.52277,0
-0.130791,-0.0608127,0,-1.52653,-1.52227,0
-0.130787,-0.0608085,0,-1.52605,-1.52213,0
-0.130783,-0.0608044,0,-1.52557,-1.52199,0
-0.130772,-0.0607975,0,-1.52534,-1.52155,0
-0.130761,-0.0607906,0,-1.5251,-1.52111,0
-0.130753,-0.0607848,0,-1.52521,-1.52062,0
