x,y,z
0.0099,-0.0091,0.1322
0.0278,-0.0099,0.1354
0.0295,0.0136,0.1283
0.0115,-0.0250,0.1343
-0.0207,0.0145,0.1300
0.0037,0.0116,0.1251
-0.0179,0.0122,0.1246
-0.0222,0.0005,0.1287
0.0121,-0.0057,0.1122
-0.0122,0.0078,0.1384
0.0004,-0.0312,0.1323
0.0244,-0.0146,0.1317
-0.0141,-0.0160,0.1267
0.0004,-0.0166,0.1110
-0.0208,-0.0040,0.1206
0.0099,-0.0110,0.1141
0.0008,-0.0177,0.1270
0.0127,-0.0122,0.1136
-0.0264,0.0145,0.1348
0.0326,0.0025,0.1267
-0.0027,0.0193,0.1355
0.0007,0.0253,0.1281
-0.0054,0.0092,0.1167
-0.0021,0.0206,0.1251
-0.0095,-0.0148,0.1172
-0.0022,0.0253,0.1287
-0.0038,0.0273,0.1335
0.0162,0.0066,0.1196
-0.0089,-0.0074,0.1160
0.0147,0.0292,0.1288
-0.0006,0.0222,0.1248
0.0034,0.0277,0.1237
0.0094,0.0133,0.1273
0.0099,-0.0199,0.1220
0.0040,0.0115,0.1335
0.0214,0.0252,0.1330
0.0029,0.0220,0.1288
0.0166,0.0269,0.1242
-0.0127,0.0175,0.1217
0.0155,0.0278,0.1274
-0.0021,-0.0197,0.1130
0.0218,0.0163,0.1232
-0.0034,0.0112,0.1246
-0.0120,0.0142,0.1375
0.0152,-0.0142,0.1301
0.0124,-0.0159,0.1197
0.0105,-0.0016,0.1175
-0.0090,0.0123,0.1176
-0.0124,-0.0218,0.1321
0.0061,0.0286,0.1257
