Time,X_[ref],Y_[ref],Z_[ref],Q0_[ref],Qx_[ref],Qy_[ref],QZ_[ref],X_[tip],Y_[tip],Z_[tip],Q0_[tip],Qx_[tip],Qy_[tip],Qz_[tip]
6.49408,-116.885,-46.2772,-85.7585,0.533864,0.488021,0.526285,0.447045,-53.1794,-50.3813,-88.5795,0.667739,0.0429546,0.743155,0
6.51499,-116.886,-46.2772,-85.7596,0.533868,0.48801,0.526282,0.447054,-53.1799,-50.3818,-88.5796,0.667738,0.0429645,0.743156,0
6.54001,-116.889,-46.2749,-85.7602,0.533863,0.48804,0.526269,0.447044,-53.1798,-50.3845,-88.5829,0.667742,0.0429789,0.743151,0
6.56501,-116.892,-46.2734,-85.7586,0.533854,0.488076,0.526257,0.44703,-53.1801,-50.3855,-88.5834,0.667741,0.0429927,0.743151,0
6.58992,-116.892,-46.2712,-85.7575,0.533843,0.488128,0.52623,0.447018,-53.1812,-50.3843,-88.5821,0.667736,0.0430191,0.743154,0
6.61493,-116.891,-46.2708,-85.7561,0.533849,0.488131,0.526223,0.447016,-53.181,-50.3864,-88.5821,0.667742,0.0430207,0.743148,0
6.63987,-116.889,-46.272,-85.7573,0.53384,0.488158,0.526202,0.44702,-53.1808,-50.3885,-88.5821,0.667749,0.0430224,0.743142,0
6.66573,-116.889,-46.2725,-85.7571,0.533827,0.488189,0.526187,0.44702,-53.1814,-50.3892,-88.5806,0.667753,0.0430257,0.743138,0
6.68987,-116.892,-46.2738,-85.7565,0.533833,0.488186,0.526188,0.447016,-53.1832,-50.3896,-88.5789,0.667758,0.0430372,0.743133,0
6.7148,-116.896,-46.2763,-85.7567,0.533829,0.488191,0.526191,0.447012,-53.184,-50.3893,-88.5768,0.66776,0.043038,0.743131,0
6.73979,-116.893,-46.2771,-85.7557,0.533814,0.488213,0.526175,0.447024,-53.1834,-50.3883,-88.5754,0.66776,0.0430263,0.743132,0
6.76479,-116.891,-46.2777,-85.7547,0.533807,0.48822,0.526168,0.447033,-53.1814,-50.3882,-88.5752,0.667765,0.0430181,0.743128,0
