t,x,y,z,qw,qx,qy,qz,x_r,y_r,z_r,x_sim,y_sim,z_sim,ctrl_time
3.126,-0.00112,0.00254,0.06017,0.69653,-0.00484,-0.04141,-0.71632,-0.01320,0.01560,0.12820,0.00012,0.00082,0.06069,0.00000
3.136,-0.00112,0.00254,0.06017,0.69653,-0.00484,-0.04141,-0.71632,-0.01320,0.01560,0.12820,0.00012,0.00082,0.06069,0.00000
3.146,-0.00112,0.00253,0.06016,0.69653,-0.00482,-0.04145,-0.71631,-0.01320,0.01560,0.12820,0.00012,0.00082,0.06069,0.00000
3.156,-0.00112,0.00253,0.06016,0.69653,-0.00482,-0.04145,-0.71631,-0.01320,0.01560,0.12820,0.00012,0.00082,0.06069,0.00000
3.527,-0.00117,0.00280,0.06164,0.69960,-0.00738,-0.04554,-0.71305,-0.01320,0.01560,0.12820,0.00006,0.00085,0.06257,0.00000
3.540,-0.00117,0.00280,0.06164,0.69960,-0.00738,-0.04554,-0.71305,-0.01320,0.01560,0.12820,0.00006,0.00085,0.06257,0.00000
3.550,-0.00125,0.00280,0.06166,0.69956,-0.00750,-0.04535,-0.71309,-0.01320,0.01560,0.12820,0.00006,0.00085,0.06257,0.00000
3.560,-0.00125,0.00280,0.06166,0.69956,-0.00750,-0.04535,-0.71309,-0.01320,0.01560,0.12820,0.00006,0.00085,0.06257,0.00000
3.928,-0.00101,0.00335,0.06368,0.70737,-0.01634,-0.05377,-0.70460,-0.01320,0.01560,0.12820,-0.00005,0.00110,0.06447,0.00000
3.938,-0.00101,0.00335,0.06368,0.70737,-0.01634,-0.05377,-0.70460,-0.01320,0.01560,0.12820,-0.00005,0.00110,0.06447,0.00000
3.948,-0.00098,0.00333,0.06370,0.70740,-0.01637,-0.05380,-0.70457,-0.01320,0.01560,0.12820,-0.00005,0.00110,0.06447,0.00000
3.958,-0.00098,0.00333,0.06370,0.70740,-0.01637,-0.05380,-0.70457,-0.01320,0.01560,0.12820,-0.00005,0.00110,0.06447,0.00000
4.322,-0.00094,0.00373,0.06574,0.71308,-0.01998,-0.06302,-0.69796,-0.01320,0.01560,0.12820,-0.00012,0.00139,0.06636,0.00000
4.332,-0.00094,0.00373,0.06574,0.71308,-0.01998,-0.06302,-0.69796,-0.01320,0.01560,0.12820,-0.00012,0.00139,0.06636,0.00000
4.343,-0.00094,0.00373,0.06574,0.71308,-0.01998,-0.06302,-0.69796,-0.01320,0.01560,0.12820,-0.00012,0.00139,0.06636,0.00000
4.353,-0.00098,0.00372,0.06567,0.71318,-0.01979,-0.06346,-0.69782,-0.01320,0.01560,0.12820,-0.00012,0.00139,0.06636,0.00000
4.723,-0.00078,0.00420,0.06783,0.72017,-0.02518,-0.07422,-0.68936,-0.01320,0.01560,0.12820,-0.00018,0.00180,0.06828,0.00000
4.733,-0.00078,0.00420,0.06783,0.72017,-0.02518,-0.07422,-0.68936,-0.01320,0.01560,0.12820,-0.00018,0.00180,0.06828,0.00000
4.745,-0.00078,0.00420,0.06783,0.72017,-0.02518,-0.07422,-0.68936,-0.01320,0.01560,0.12820,-0.00018,0.00180,0.06828,0.00000
4.755,-0.00100,0.00419,0.06778,0.72012,-0.02490,-0.07439,-0.68940,-0.01320,0.01560,0.12820,-0.00018,0.00180,0.06828,0.00000
5.023,-0.00076,0.00468,0.06966,0.72739,-0.03122,-0.08533,-0.68018,-0.01320,0.01560,0.12820,-0.00021,0.00228,0.07009,0.00000
5.034,-0.00076,0.00468,0.06966,0.72739,-0.03122,-0.08533,-0.68018,-0.01320,0.01560,0.12820,-0.00021,0.00228,0.07009,0.00000
5.044,-0.00076,0.00468,0.06966,0.72739,-0.03122,-0.08533,-0.68018,-0.01320,0.01560,0.12820,-0.00021,0.00228,0.07009,0.00000
5.054,-0.00081,0.00469,0.06973,0.72769,-0.03136,-0.08591,-0.67978,-0.01320,0.01560,0.12820,-0.00021,0.00228,0.07009,0.00000
5.425,-0.00089,0.00524,0.07170,0.73554,-0.03800,-0.09851,-0.66920,-0.01320,0.01560,0.12820,-0.00025,0.00285,0.07211,0.00000
5.435,-0.00089,0.00524,0.07170,0.73554,-0.03800,-0.09851,-0.66920,-0.01320,0.01560,0.12820,-0.00025,0.00285,0.07211,0.00000
5.448,-0.00079,0.00526,0.07171,0.73562,-0.03809,-0.09863,-0.66909,-0.01320,0.01560,0.12820,-0.00025,0.00285,0.07211,0.00000
5.458,-0.00079,0.00526,0.07171,0.73562,-0.03809,-0.09863,-0.66909,-0.01320,0.01560,0.12820,-0.00025,0.00285,0.07211,0.00000
5.826,-0.00088,0.00584,0.07368,0.74278,-0.04346,-0.11143,-0.65876,-0.01320,0.01560,0.12820,-0.00028,0.00344,0.07404,0.00000
5.836,-0.00088,0.00584,0.07368,0.74278,-0.04346,-0.11143,-0.65876,-0.01320,0.01560,0.12820,-0.00028,0.00344,0.07404,0.00000
5.846,-0.00089,0.00584,0.07371,0.74283,-0.04361,-0.11139,-0.65871,-0.01320,0.01560,0.12820,-0.00028,0.00344,0.07404,0.00000
5.857,-0.00089,0.00584,0.07371,0.74283,-0.04361,-0.11139,-0.65871,-0.01320,0.01560,0.12820,-0.00028,0.00344,0.07404,0.00000
6.123,-0.00112,0.00644,0.07541,0.74981,-0.05029,-0.12297,-0.64818,-0.01320,0.01560,0.12820,-0.00031,0.00400,0.07585,0.00000
6.133,-0.00112,0.00644,0.07541,0.74981,-0.05029,-0.12297,-0.64818,-0.01320,0.01560,0.12820,-0.00031,0.00400,0.07585,0.00000
6.143,-0.00112,0.00644,0.07541,0.74981,-0.05029,-0.12297,-0.64818,-0.01320,0.01560,0.12820,-0.00031,0.00400,0.07585,0.00000
6.153,-0.00097,0.00647,0.07553,0.75017,-0.05087,-0.12333,-0.64765,-0.01320,0.01560,0.12820,-0.00031,0.00400,0.07585,0.00000
6.523,-0.00126,0.00719,0.07753,0.75830,-0.06011,-0.13613,-0.63469,-0.01320,0.01560,0.12820,-0.00037,0.00459,0.07787,0.00000
6.533,-0.00126,0.00719,0.07753,0.75830,-0.06011,-0.13613,-0.63469,-0.01320,0.01560,0.12820,-0.00037,0.00459,0.07787,0.00000
6.544,-0.00126,0.00719,0.07753,0.75830,-0.06011,-0.13613,-0.63469,-0.01320,0.01560,0.12820,-0.00037,0.00459,0.07787,0.00000
6.554,-0.00131,0.00719,0.07750,0.75837,-0.05999,-0.13646,-0.63455,-0.01320,0.01560,0.12820,-0.00037,0.00459,0.07787,0.00000
6.927,-0.00150,0.00786,0.07944,0.76467,-0.06609,-0.14819,-0.62366,-0.01320,0.01560,0.12820,-0.00042,0.00516,0.07979,0.00000
6.940,-0.00150,0.00786,0.07944,0.76467,-0.06609,-0.14819,-0.62366,-0.01320,0.01560,0.12820,-0.00042,0.00516,0.07979,0.00000
6.950,-0.00146,0.00788,0.07946,0.76468,-0.06625,-0.14806,-0.62366,-0.01320,0.01560,0.12820,-0.00042,0.00516,0.07979,0.00000
6.960,-0.00146,0.00788,0.07946,0.76468,-0.06625,-0.14806,-0.62366,-0.01320,0.01560,0.12820,-0.00042,0.00516,0.07979,0.00000
