t,q1,q2,q3,q4,q1_dot,q2_dot,q3_dot,q4_dot,c1,c2,c3,c4,q_r1,q_r2,q_r3,q_r4,q_r1_dot,q_r2_dot,q_r3_dot,q_r4_dot
13.225,0.165283,-0.155800,0.165108,-0.071900,0.000000,0.000030,0.000000,0.000000,-11.300000,8.200000,71.100000,42.900000,0.165149,-0.155800,0.165149,-0.071900,0.000000,0.000000,0.000000,0.000000
13.236,0.165283,-0.155800,0.165108,-0.071900,0.000000,0.000030,0.000000,0.000000,-11.300000,8.200000,71.100000,42.900000,0.165149,-0.155800,0.165149,-0.071900,0.000000,0.000000,0.000000,0.000000
13.246,0.165283,-0.155800,0.165108,-0.071900,0.000000,0.000030,0.000000,0.000000,-11.300000,8.200000,71.100000,42.900000,0.165149,-0.155800,0.165149,-0.071900,0.000000,0.000000,0.000000,0.000000
13.256,0.165283,-0.155800,0.165108,-0.071900,0.000000,0.000030,0.000000,0.000000,-11.300000,8.200000,71.100000,42.900000,0.165149,-0.155800,0.165149,-0.071900,0.000000,0.000000,0.000000,0.000000
14.125,0.108559,-0.153696,0.181165,-0.071801,0.000000,-0.000010,0.000000,0.000000,-16.800000,56.200000,16.900000,44.900000,0.108593,-0.153696,0.181331,-0.070989,0.000000,0.000000,0.000000,0.000000
14.137,0.108559,-0.153696,0.181165,-0.071801,0.000000,-0.000010,0.000000,0.000000,-16.800000,56.200000,16.900000,44.900000,0.108593,-0.153696,0.181331,-0.070989,0.000000,0.000000,0.000000,0.000000
14.147,0.108559,-0.153696,0.181165,-0.071801,0.000000,-0.000010,0.000000,0.000000,-16.800000,56.200000,16.900000,44.900000,0.108593,-0.153696,0.181331,-0.070989,0.000000,0.000000,0.000000,0.000000
14.157,0.108559,-0.153696,0.181165,-0.071801,0.000000,-0.000010,0.000000,0.000000,-16.800000,56.200000,16.900000,44.900000,0.108593,-0.153696,0.181331,-0.070989,0.000000,0.000000,0.000000,0.000000
14.628,0.065275,-0.151477,0.201062,-0.070883,0.003491,0.000000,-0.001745,0.000000,-16.100000,56.900000,-36.400000,103.400000,0.065417,-0.151478,0.200892,-0.070883,0.000000,0.000000,0.000000,0.000000
14.638,0.065275,-0.151477,0.201062,-0.070883,0.003491,0.000000,-0.001745,0.000000,-16.100000,56.900000,-36.400000,103.400000,0.065417,-0.151478,0.200892,-0.070883,0.000000,0.000000,0.000000,0.000000
14.648,0.065275,-0.151477,0.201062,-0.070883,0.003491,0.000000,-0.001745,0.000000,-16.100000,56.900000,-36.400000,103.400000,0.065417,-0.151478,0.200892,-0.070883,0.000000,0.000000,0.000000,0.000000
14.658,0.065275,-0.151477,0.201062,-0.070883,0.003491,0.000000,-0.001745,0.000000,-16.100000,56.900000,-36.400000,103.400000,0.065417,-0.151478,0.200892,-0.070883,0.000000,0.000000,0.000000,0.000000
15.125,0.017802,-0.149464,0.218166,-0.070034,-0.008727,0.000010,-0.003491,0.000000,-17.100000,60.500000,-84.200000,95.400000,0.061079,-0.147451,0.193786,-0.069026,0.000000,0.000000,0.000000,0.000000
15.135,0.017802,-0.149464,0.218166,-0.070034,-0.008727,0.000010,-0.003491,0.000000,-17.100000,60.500000,-84.200000,95.400000,0.061079,-0.147451,0.193786,-0.069026,0.000000,0.000000,0.000000,0.000000
15.147,0.017802,-0.149464,0.218166,-0.070034,-0.008727,0.000010,-0.003491,0.000000,-17.100000,60.500000,-84.200000,95.400000,0.061079,-0.147451,0.193786,-0.069026,0.000000,0.000000,0.000000,0.000000
15.157,0.017802,-0.149464,0.218166,-0.070034,-0.008727,0.000010,-0.003491,0.000000,-17.100000,60.500000,-84.200000,95.400000,0.061079,-0.147451,0.193786,-0.069026,0.000000,0.000000,0.000000,0.000000
15.628,0.060912,-0.147450,0.193382,-0.069026,0.000000,0.000010,0.000000,0.000000,-12.000000,87.100000,80.600000,113.800000,0.061079,-0.147451,0.193786,-0.069026,0.000000,0.000000,0.000000,0.000000
15.638,0.060912,-0.147450,0.193382,-0.069026,0.000000,0.000010,0.000000,0.000000,-12.000000,87.100000,80.600000,113.800000,0.061079,-0.147451,0.193786,-0.069026,0.000000,0.000000,0.000000,0.000000
