t,q1,q2,q3,q4,q1_dot,q2_dot,q3_dot,q4_dot,c1,c2,c3,c4,q_r1,q_r2,q_r3,q_r4,q_r1_dot,q_r2_dot,q_r3_dot,q_r4_dot
0.004,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000020,0.000000,0.000000,-8.200000,-36.500000,1.800000,75.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.029,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000040,0.000000,0.000000,-9.100000,-34.900000,1.300000,75.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.054,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000020,0.000000,0.000000,-8.800000,-32.600000,0.800000,76.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.079,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000090,0.000000,0.000000,-9.300000,-32.000000,2.100000,76.900000,0.000000,0.000000,0.000000,0.000000,0.250000,0.001500,0.250000,0.001500
0.104,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000000,0.000000,0.000000,-9.400000,-34.500000,3.700000,76.600000,0.000000,0.000000,0.000000,0.000000,0.375000,0.002250,0.375000,0.002250
0.129,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000010,0.000000,0.000000,-9.800000,-31.200000,2.500000,77.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.003000,0.500000,0.003000
0.154,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000070,0.000000,0.000000,-9.600000,-26.100000,2.700000,76.700000,0.000000,0.000000,0.000000,0.000000,0.625000,0.003750,0.625000,0.003750
0.179,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000080,0.000000,0.000000,-9.400000,-33.600000,2.300000,76.900000,0.000000,0.000000,0.000000,0.000000,0.750000,0.004500,0.750000,0.004500
0.204,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000050,0.000000,0.000000,-8.600000,-30.400000,1.500000,77.100000,0.000000,0.000000,0.000000,0.000000,0.875000,0.005250,0.875000,0.005250
0.229,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000090,0.000000,0.000000,-8.900000,-36.300000,3.000000,77.700000,0.000000,0.000000,0.000000,0.000000,1.000000,0.006000,1.000000,0.006000
0.254,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000040,0.000000,0.000000,-8.900000,-35.600000,2.500000,77.800000,0.000000,0.000000,0.000000,0.000000,1.125000,0.006750,1.125000,0.006750
0.279,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000050,0.000000,0.000000,-10.000000,-34.100000,3.900000,78.100000,0.000000,0.000000,0.000000,0.000000,1.250000,0.007500,1.250000,0.007500
0.304,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000050,0.000000,0.000000,-10.600000,-41.100000,3.200000,78.500000,0.000000,0.000000,0.000000,0.000000,1.375000,0.008250,1.375000,0.008250
0.329,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000060,0.000000,0.000000,-11.200000,-37.300000,3.300000,79.300000,0.000000,0.000000,0.000000,0.000000,1.500000,0.009000,1.500000,0.009000
0.354,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000000,0.000000,0.000000,-11.900000,-42.000000,3.800000,79.800000,0.000000,0.000000,0.000000,0.000000,1.625000,0.009750,1.625000,0.009750
0.379,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000060,0.000000,0.000000,-11.300000,-46.900000,2.100000,80.500000,0.000000,0.000000,0.000000,0.000000,1.750000,0.010500,1.750000,0.010500
0.404,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000000,0.000000,0.000000,-12.200000,-39.600000,2.500000,79.300000,0.000000,0.000000,0.000000,0.000000,1.875000,0.011250,1.875000,0.011250
0.429,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000060,0.000000,0.000000,-11.300000,-33.100000,1.600000,77.300000,0.000000,0.000000,0.000000,0.000000,2.000000,0.012000,2.000000,0.012000
0.454,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000000,0.000000,0.000000,-11.400000,-32.800000,2.900000,77.900000,0.000000,0.000000,0.000000,0.000000,2.125000,0.012000,2.125000,0.012000
0.480,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000030,0.000000,0.000000,-12.300000,-29.200000,3.900000,77.000000,0.000000,0.000000,0.000000,0.000000,2.250000,0.012000,2.250000,0.012000
0.504,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000110,0.000000,0.000000,-11.500000,-38.000000,3.200000,77.600000,0.000000,0.000000,0.000000,0.000000,2.375000,0.012000,2.375000,0.012000
0.529,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000030,0.000000,0.000000,-11.400000,-45.500000,3.800000,77.600000,0.000000,0.000000,0.000000,0.000000,2.500000,0.012000,2.500000,0.012000
0.554,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,0.000000,0.000000,0.000000,-10.900000,-43.200000,2.900000,76.700000,0.000000,0.000000,0.000000,0.000000,2.625000,0.012000,2.625000,0.012000
0.579,-0.260927,-0.094433,-1.672898,-0.038029,0.000000,-0.000120,0.000000,0.000000,-9.600000,-33.000000,1.800000,76.400000,0.000000,0.000000,0.000000,0.000000,2.625000,0.012000,2.625000,0.012000
