t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.003,0.000000,0.000000,0.000000,-0.013745,-0.019272,0.120696,0.157165,0.196183,-0.442676,0.509068,0.000000
0.028,0.000000,0.000000,0.000000,-0.013742,-0.019273,0.120697,0.157173,0.196188,-0.442666,0.509065,0.000000
0.053,-0.018500,-0.026915,0.130000,-0.013740,-0.019272,0.120698,0.157184,0.196196,-0.442638,0.509046,0.000000
0.078,-0.018500,-0.026830,0.130000,-0.013738,-0.019270,0.120699,0.157193,0.196203,-0.442600,0.509019,62.822000
0.103,-0.018500,-0.026745,0.130000,-0.013737,-0.019266,0.120701,0.157196,0.196203,-0.442566,0.508990,29.246000
0.128,-0.018500,-0.026660,0.130000,-0.013737,-0.019264,0.120703,0.157192,0.196198,-0.442540,0.508964,25.258000
0.153,-0.018500,-0.026575,0.130000,-0.013735,-0.019265,0.120703,0.157187,0.196191,-0.442521,0.508944,25.904000
0.178,-0.018500,-0.026490,0.130000,-0.013733,-0.019268,0.120703,0.157185,0.196186,-0.442498,0.508921,25.008000
0.203,-0.018500,-0.026405,0.130000,-0.013732,-0.019269,0.120703,0.157180,0.196181,-0.442465,0.508889,27.058000
0.228,-0.018500,-0.026320,0.130000,-0.013731,-0.019269,0.120703,0.157172,0.196171,-0.442418,0.508842,24.140000
0.253,-0.018500,-0.026235,0.130000,-0.013732,-0.019269,0.120704,0.157162,0.196159,-0.442358,0.508782,27.466000
0.278,-0.018500,-0.026150,0.130000,-0.013732,-0.019268,0.120705,0.157152,0.196148,-0.442297,0.508721,26.291000
0.303,-0.018500,-0.026065,0.130000,-0.013733,-0.019267,0.120705,0.157138,0.196132,-0.442242,0.508663,23.510000
0.328,-0.018500,-0.025980,0.130000,-0.013732,-0.019269,0.120705,0.157121,0.196112,-0.442189,0.508604,20.337000
0.353,-0.018500,-0.025895,0.130000,-0.013730,-0.019273,0.120705,0.157106,0.196095,-0.442136,0.508547,19.258000
0.378,-0.018500,-0.025810,0.130000,-0.013730,-0.019275,0.120705,0.157100,0.196088,-0.442080,0.508494,26.866000
0.403,-0.018500,-0.025725,0.130000,-0.013731,-0.019273,0.120706,0.157101,0.196088,-0.442025,0.508445,26.536000
0.428,-0.018500,-0.025640,0.130000,-0.013732,-0.019268,0.120708,0.157101,0.196087,-0.441972,0.508400,26.928000
0.453,-0.018500,-0.025555,0.130000,-0.013734,-0.019264,0.120709,0.157101,0.196087,-0.441929,0.508362,28.955000
0.478,-0.018500,-0.025555,0.130000,-0.013737,-0.019260,0.120711,0.157101,0.196087,-0.441902,0.508339,28.955000
0.503,-0.018500,-0.025470,0.130000,-0.013739,-0.019257,0.120712,0.157102,0.196088,-0.441891,0.508330,29.253000
0.528,-0.018500,-0.025385,0.130000,-0.013740,-0.019255,0.120713,0.157101,0.196090,-0.441894,0.508333,26.618000
