t,x,y,z,qw,qx,qy,qz,x_r,y_r,z_r,x_sim,y_sim,z_sim,ctrl_time
17.023,-0.00124,0.01194,0.13059,0.75349,0.02474,-0.22976,-0.61551,-0.01320,0.01560,0.12820,-0.01320,0.01562,0.12827,0.00000
17.033,-0.00124,0.01194,0.13059,0.75349,0.02474,-0.22976,-0.61551,-0.01320,0.01560,0.12820,-0.01320,0.01562,0.12827,0.00000
17.044,-0.00124,0.01194,0.13059,0.75349,0.02474,-0.22976,-0.61551,-0.01320,0.01560,0.12820,-0.01320,0.01562,0.12827,0.00000
17.054,-0.00123,0.01187,0.13058,0.75294,0.02526,-0.22859,-0.61659,-0.01320,0.01560,0.12820,-0.01320,0.01562,0.12827,0.00000
42.523,-0.01133,0.00315,0.10022,0.62758,0.19340,-0.12740,-0.74331,-0.00800,0.00250,0.10000,-0.00841,0.00220,0.09995,0.00000
42.534,-0.01133,0.00315,0.10022,0.62758,0.19340,-0.12740,-0.74331,-0.00800,0.00250,0.10000,-0.00841,0.00220,0.09995,0.00000
42.544,-0.01133,0.00315,0.10022,0.62758,0.19340,-0.12740,-0.74331,-0.00800,0.00250,0.10000,-0.00841,0.00220,0.09995,0.00000
42.554,-0.01134,0.00315,0.10022,0.62754,0.19350,-0.12745,-0.74331,-0.00800,0.00250,0.10000,-0.00841,0.00220,0.09995,0.00000
67.722,0.00949,-0.02087,0.13000,-0.39844,-0.12678,-0.29581,0.85888,0.01220,-0.02090,0.12850,0.01222,-0.02098,0.12858,0.00000
67.732,0.00949,-0.02087,0.13000,-0.39844,-0.12678,-0.29581,0.85888,0.01220,-0.02090,0.12850,0.01222,-0.02098,0.12858,0.00000
67.742,0.00949,-0.02087,0.13000,-0.39844,-0.12678,-0.29581,0.85888,0.01220,-0.02090,0.12850,0.01222,-0.02098,0.12858,0.00000
67.752,0.00939,-0.02093,0.13006,-0.39803,-0.12689,-0.29619,0.85892,0.01220,-0.02090,0.12850,0.01222,-0.02098,0.12858,0.00000
101.323,-0.00910,0.00742,0.13228,0.58658,0.14007,0.02022,-0.79743,-0.01230,0.01000,0.13140,-0.01212,0.00996,0.13145,0.00000
101.333,-0.00910,0.00742,0.13228,0.58658,0.14007,0.02022,-0.79743,-0.01230,0.01000,0.13140,-0.01212,0.00996,0.13145,0.00000
101.343,-0.00910,0.00742,0.13228,0.58658,0.14007,0.02022,-0.79743,-0.01230,0.01000,0.13140,-0.01212,0.00996,0.13145,0.00000
101.353,-0.00907,0.00737,0.13236,0.58650,0.13986,0.02059,-0.79752,-0.01230,0.01000,0.13140,-0.01212,0.00996,0.13145,0.00000
126.823,-0.00752,0.01580,0.10180,0.80758,-0.10129,-0.26718,-0.51592,-0.00680,0.01320,0.10150,-0.00660,0.01327,0.10170,0.00000
126.833,-0.00752,0.01580,0.10180,0.80758,-0.10129,-0.26718,-0.51592,-0.00680,0.01320,0.10150,-0.00660,0.01327,0.10170,0.00000
126.844,-0.00752,0.01580,0.10180,0.80758,-0.10129,-0.26718,-0.51592,-0.00680,0.01320,0.10150,-0.00660,0.01327,0.10170,0.00000
126.854,-0.00748,0.01579,0.10184,0.80753,-0.10124,-0.26697,-0.51612,-0.00680,0.01320,0.10150,-0.00660,0.01327,0.10170,0.00000
153.023,0.01148,0.02661,0.12126,0.78466,-0.36971,-0.00762,-0.49755,0.00840,0.02570,0.12100,0.00862,0.02566,0.12101,0.00000
153.035,0.01148,0.02661,0.12126,0.78466,-0.36971,-0.00762,-0.49755,0.00840,0.02570,0.12100,0.00862,0.02566,0.12101,0.00000
153.045,0.01148,0.02665,0.12127,0.78459,-0.36982,-0.00740,-0.49759,0.00840,0.02570,0.12100,0.00862,0.02566,0.12101,0.00000
153.055,0.01148,0.02665,0.12127,0.78459,-0.36982,-0.00740,-0.49759,0.00840,0.02570,0.12100,0.00862,0.02566,0.12101,0.00000
194.323,0.01745,-0.00066,0.13812,0.53118,0.01405,0.21917,-0.81830,0.01880,-0.00140,0.13830,0.01880,-0.00124,0.13829,0.00000
194.333,0.01745,-0.00066,0.13812,0.53118,0.01405,0.21917,-0.81830,0.01880,-0.00140,0.13830,0.01880,-0.00124,0.13829,0.00000
194.343,0.01745,-0.00066,0.13812,0.53118,0.01405,0.21917,-0.81830,0.01880,-0.00140,0.13830,0.01880,-0.00124,0.13829,0.00000
194.353,0.01743,-0.00069,0.13806,0.53142,0.01385,0.21899,-0.81820,0.01880,-0.00140,0.13830,0.01880,-0.00124,0.13829,0.00000
225.723,-0.01272,-0.02028,0.12484,-0.36557,-0.32884,-0.14117,0.85924,-0.00920,-0.02090,0.12400,-0.00927,-0.02082,0.12404,0.00000
225.733,-0.01272,-0.02028,0.12484,-0.36557,-0.32884,-0.14117,0.85924,-0.00920,-0.02090,0.12400,-0.00927,-0.02082,0.12404,0.00000
225.743,-0.01272,-0.02028,0.12484,-0.36557,-0.32884,-0.14117,0.85924,-0.00920,-0.02090,0.12400,-0.00927,-0.02082,0.12404,0.00000
225.753,-0.01275,-0.02028,0.12478,-0.36555,-0.32893,-0.14109,0.85923,-0.00920,-0.02090,0.12400,-0.00927,-0.02082,0.12404,0.00000
268.026,-0.02622,0.01669,0.13683,0.82466,-0.12439,-0.35939,-0.41870,-0.02600,0.01270,0.13510,-0.02597,0.01312,0.13520,0.00000
268.040,-0.02622,0.01669,0.13683,0.82466,-0.12439,-0.35939,-0.41870,-0.02600,0.01270,0.13510,-0.02597,0.01312,0.13520,0.00000
268.050,-0.02619,0.01685,0.13677,0.82481,-0.12515,-0.35924,-0.41830,-0.02600,0.01270,0.13510,-0.02597,0.01312,0.13520,0.00000
268.060,-0.02619,0.01685,0.13677,0.82481,-0.12515,-0.35924,-0.41830,-0.02600,0.01270,0.13510,-0.02597,0.01312,0.13520,0.00000
312.523,0.01343,-0.02528,0.13819,-0.46873,0.09270,-0.36712,0.79807,0.01630,-0.02090,0.13760,0.01636,-0.02251,0.13820,0.00000
312.533,0.01343,-0.02528,0.13819,-0.46873,0.09270,-0.36712,0.79807,0.01630,-0.02090,0.13760,0.01636,-0.02251,0.13820,0.00000
312.543,0.01343,-0.02528,0.13819,-0.46873,0.09270,-0.36712,0.79807,0.01630,-0.02090,0.13760,0.01636,-0.02251,0.13820,0.00000
312.553,0.01344,-0.02515,0.13802,-0.46852,0.09167,-0.36678,0.79847,0.01630,-0.02090,0.13760,0.01636,-0.02251,0.13820,0.00000
