t,q1,q2,q3,q4,q1_dot,q2_dot,q3_dot,q4_dot,c1,c2,c3,c4,q_r1,q_r2,q_r3,q_r4,q_r1_dot,q_r2_dot,q_r3_dot,q_r4_dot
34.810,-0.695688,-0.080620,1.614953,-0.045114,0.000000,0.000000,0.000000,0.000000,-18.100000,18.900000,-129.900000,-28.200000,-0.726755,-0.080560,1.659555,-0.044907,0.000000,0.000000,0.000000,0.000000
34.820,-0.695688,-0.080620,1.614953,-0.045114,0.000000,0.000000,0.000000,0.000000,-18.100000,18.900000,-129.900000,-28.200000,-0.726755,-0.080560,1.659555,-0.044907,0.000000,0.000000,0.000000,0.000000
34.830,-0.695688,-0.080620,1.614953,-0.045114,0.000000,0.000000,0.000000,0.000000,-18.100000,18.900000,-129.900000,-28.200000,-0.726755,-0.080560,1.659555,-0.044907,0.000000,0.000000,0.000000,0.000000
34.840,-0.695688,-0.080620,1.614953,-0.045114,0.000000,0.000000,0.000000,0.000000,-18.100000,18.900000,-129.900000,-28.200000,-0.726755,-0.080560,1.659555,-0.044907,0.000000,0.000000,0.000000,0.000000
76.405,0.195826,-0.072919,1.727701,-0.038587,0.061087,0.000000,0.000000,0.000000,-28.700000,3.100000,145.200000,-12.700000,0.225951,-0.072448,1.686760,-0.037740,0.000000,0.000000,0.000000,0.000000
76.415,0.195826,-0.072919,1.727701,-0.038587,0.061087,0.000000,0.000000,0.000000,-28.700000,3.100000,145.200000,-12.700000,0.225951,-0.072448,1.686760,-0.037740,0.000000,0.000000,0.000000,0.000000
76.425,0.195826,-0.072919,1.727701,-0.038587,0.061087,0.000000,0.000000,0.000000,-28.700000,3.100000,145.200000,-12.700000,0.225951,-0.072448,1.686760,-0.037740,0.000000,0.000000,0.000000,0.000000
76.438,0.195826,-0.072919,1.727701,-0.038587,0.061087,0.000000,0.000000,0.000000,-28.700000,3.100000,145.200000,-12.700000,0.225951,-0.072448,1.686760,-0.037740,0.000000,0.000000,0.000000,0.000000
119.009,2.035927,-0.078232,1.929112,-0.035494,0.015708,0.000040,0.000000,0.000000,-13.700000,45.500000,97.300000,139.200000,2.036385,-0.079578,1.900212,-0.036616,0.000000,0.000000,0.000000,0.000000
119.019,2.035927,-0.078232,1.929112,-0.035494,0.015708,0.000040,0.000000,0.000000,-13.700000,45.500000,97.300000,139.200000,2.036385,-0.079578,1.900212,-0.036616,0.000000,0.000000,0.000000,0.000000
119.030,2.035927,-0.078232,1.929112,-0.035494,0.015708,0.000040,0.000000,0.000000,-13.700000,45.500000,97.300000,139.200000,2.036385,-0.079578,1.900212,-0.036616,0.000000,0.000000,0.000000,0.000000
119.040,2.035927,-0.078232,1.929112,-0.035494,0.015708,0.000040,0.000000,0.000000,-13.700000,45.500000,97.300000,139.200000,2.036385,-0.079578,1.900212,-0.036616,0.000000,0.000000,0.000000,0.000000
156.210,1.242151,-0.074981,-0.382751,-0.043358,-0.027925,-0.000070,0.000000,0.000000,-17.200000,-37.400000,74.000000,2.800000,1.242335,-0.074985,-0.383078,-0.043359,0.000000,0.000000,0.000000,0.000000
