Targ_X,Targ_Y,Targ_Z, Phan_Tool_X, Phan_Tool_Y, Phan_Tool_Z, Base_Tool_X, Base_Tool_Y, Base_Tool_Z
0.0292966,-0.0538209,0.196799,0.000812493,-0.0281163,0.180064,-0.0204596,0.00858226,0.118971
0.0292966,-0.0538209,0.196799,0.0011356,-0.0233766,0.181545,-0.0193704,0.0133921,0.120874
0.0292966,-0.0538209,0.196799,0.000856519,-0.0226463,0.181714,-0.0192334,0.0139199,0.121477
0.0292966,-0.0538209,0.196799,0.00435133,-0.0238446,0.183219,-0.0169534,0.0143002,0.118245
0.0292966,-0.0538209,0.196799,0.00546337,-0.0248328,0.183671,-0.0161694,0.0139019,0.11699
0.0292966,-0.0538209,0.196799,0.00546001,-0.0248232,0.183667,-0.0161274,0.0137708,0.116977
0.0292966,-0.0538209,0.196799,0.00547519,-0.0248295,0.183684,-0.0162035,0.0139143,0.116961
0.0292966,-0.0538209,0.196799,0.0054574,-0.0248327,0.183698,-0.0161225,0.0138089,0.116994
0.0292966,-0.0538209,0.196799,-0.00477101,-0.0364263,0.182805,-0.0180642,-0.00107255,0.121124
0.0292966,-0.0538209,0.196799,nan,nan,nan,nan,nan,nan
0.0292966,-0.0538209,0.196799,-0.00624997,-0.0505995,0.194465,-0.00621519,-0.0144917,0.119134
0.0292966,-0.0538209,0.196799,-0.00684679,-0.0451315,0.185213,-0.0156589,-0.00965749,0.11984
0.0292966,-0.0538209,0.196799,-0.00702892,-0.0442829,0.183986,-0.0167925,-0.00913276,0.12009
0.0292966,-0.0538209,0.196799,-0.00423104,-0.0478546,0.188027,-0.0121133,-0.0111561,0.117046
0.0292966,-0.0538209,0.196799,-0.00321647,-0.0471004,0.18709,-0.0129655,-0.00994126,0.116226
0.0292966,-0.0538209,0.196799,-0.00585905,-0.051051,0.19482,-0.00576563,-0.0146756,0.118692
0.0292966,-0.0538209,0.196799,0.00179502,-0.0363688,0.19361,-0.00625978,0.00153061,0.117677
