timestamp,beta1_vel,beta2_vel,beta3_vel,alpha1_vel,alpha2_vel,alpha3_vel
0.000000,-0.000000,-0.000000,0.000000,0.447640,-0.052360,0.000000
0.010000,-0.000013,-0.000006,0.000000,0.447639,-0.052360,0.000000
0.020000,-0.000025,-0.000013,0.000000,0.447636,-0.052360,0.000000
0.030000,-0.000038,-0.000019,0.000000,0.447630,-0.052360,0.000000
0.040000,-0.000050,-0.000025,0.000000,0.447623,-0.052360,0.000000
0.050000,-0.000063,-0.000031,0.000000,0.447613,-0.052360,0.000000
0.060000,-0.000075,-0.000038,0.000000,0.447601,-0.052360,0.000000
0.070000,-0.000088,-0.000044,0.000000,0.447586,-0.052360,0.000000
0.080000,-0.000101,-0.000050,0.000000,0.447570,-0.052360,0.000000
0.090000,-0.000113,-0.000057,0.000000,0.447551,-0.052360,0.000000
0.100000,-0.000126,-0.000063,0.000000,0.447530,-0.052360,0.000000
0.110000,-0.000138,-0.000069,0.000000,0.447507,-0.052360,0.000000
0.120000,-0.000151,-0.000075,0.000000,0.447482,-0.052360,0.000000
0.130000,-0.000163,-0.000082,0.000000,0.447455,-0.052360,0.000000
0.140000,-0.000176,-0.000088,0.000000,0.447425,-0.052360,0.000000
0.150000,-0.000188,-0.000094,0.000000,0.447393,-0.052360,0.000000
0.160000,-0.000201,-0.000100,0.000000,0.447359,-0.052360,0.000000
0.170000,-0.000213,-0.000107,0.000000,0.447323,-0.052360,0.000000
0.180000,-0.000226,-0.000113,0.000000,0.447285,-0.052360,0.000000
0.190000,-0.000239,-0.000119,0.000000,0.447244,-0.052360,0.000000
0.200000,-0.000251,-0.000126,0.000000,0.447202,-0.052360,0.000000
0.210000,-0.000264,-0.000132,0.000000,0.447157,-0.052360,0.000000
0.220000,-0.000276,-0.000138,0.000000,0.447109,-0.052360,0.000000
0.230000,-0.000289,-0.000144,0.000000,0.447060,-0.052360,0.000000
0.240000,-0.000301,-0.000151,0.000000,0.447009,-0.052360,0.000000
0.250000,-0.000314,-0.000157,0.000000,0.446955,-0.052360,0.000000
0.260000,-0.000326,-0.000163,0.000000,0.446899,-0.052360,0.000000
0.270000,-0.000339,-0.000169,0.000000,0.446841,-0.052360,0.000000
0.280000,-0.000351,-0.000176,0.000000,0.446781,-0.052360,0.000000
0.290000,-0.000364,-0.000182,0.000000,0.446718,-0.052360,0.000000
0.300000,-0.000376,-0.000188,0.000000,0.446653,-0.052360,0.000000
0.310000,-0.000388,-0.000194,0.000000,0.446587,-0.052360,0.000000
0.320000,-0.000401,-0.000200,0.000000,0.446518,-0.052360,0.000000
0.330000,-0.000413,-0.000207,0.000000,0.446446,-0.052360,0.000000
0.340000,-0.000426,-0.000213,0.000000,0.446373,-0.052360,0.000000
0.350000,-0.000438,-0.000219,0.000000,0.446297,-0.052360,0.000000
0.360000,-0.000451,-0.000225,0.000000,0.446220,-0.052360,0.000000
0.370000,-0.000463,-0.000232,0.000000,0.446140,-0.052360,0.000000
0.380000,-0.000476,-0.000238,0.000000,0.446057,-0.052360,0.000000
0.390000,-0.000488,-0.000244,0.000000,0.445973,-0.052360,0.000000
0.400000,-0.000500,-0.000250,0.000000,0.445887,-0.052360,0.000000
0.410000,-0.000513,-0.000256,0.000000,0.445798,-0.052360,0.000000
0.420000,-0.000525,-0.000263,0.000000,0.445707,-0.052360,0.000000
0.430000,-0.000537,-0.000269,0.000000,0.445614,-0.052360,0.000000
0.440000,-0.000550,-0.000275,0.000000,0.445519,-0.052360,0.000000
0.450000,-0.000562,-0.000281,0.000000,0.445421,-0.052360,0.000000
0.460000,-0.000574,-0.000287,0.000000,0.445321,-0.052360,0.000000
0.470000,-0.000587,-0.000293,0.000000,0.445220,-0.052360,0.000000
0.480000,-0.000599,-0.000300,0.000000,0.445116,-0.052360,0.000000
0.490000,-0.000611,-0.000306,0.000000,0.445009,-0.052360,0.000000
0.500000,-0.000624,-0.000312,0.000000,0.444901,-0.052360,0.000000
0.510000,-0.000636,-0.000318,0.000000,0.444791,-0.052360,0.000000
0.520000,-0.000648,-0.000324,0.000000,0.444678,-0.052360,0.000000
0.530000,-0.000661,-0.000330,0.000000,0.444563,-0.052360,0.000000
0.540000,-0.000673,-0.000336,0.000000,0.444446,-0.052360,0.000000
0.550000,-0.000685,-0.000343,0.000000,0.444327,-0.052360,0.000000
0.560000,-0.000697,-0.000349,0.000000,0.444205,-0.052360,0.000000
0.570000,-0.000709,-0.000355,0.000000,0.444081,-0.052360,0.000000
0.580000,-0.000722,-0.000361,0.000000,0.443956,-0.052360,0.000000
0.590000,-0.000734,-0.000367,0.000000,0.443828,-0.052360,0.000000
0.600000,-0.000746,-0.000373,0.000000,0.443697,-0.052360,0.000000
0.610000,-0.000758,-0.000379,0.000000,0.443565,-0.052360,0.000000
0.620000,-0.000770,-0.000385,0.000000,0.443431,-0.052360,0.000000
0.630000,-0.000783,-0.000391,0.000000,0.443294,-0.052360,0.000000
0.640000,-0.000795,-0.000397,0.000000,0.443155,-0.052360,0.000000
0.650000,-0.000807,-0.000403,0.000000,0.443014,-0.052360,0.000000
0.660000,-0.000819,-0.000409,0.000000,0.442871,-0.052360,0.000000
0.670000,-0.000831,-0.000415,0.000000,0.442725,-0.052360,0.000000
0.680000,-0.000843,-0.000422,0.000000,0.442578,-0.052360,0.000000
0.690000,-0.000855,-0.000428,0.000000,0.442428,-0.052360,0.000000
0.700000,-0.000867,-0.000434,0.000000,0.442276,-0.052360,0.000000
0.710000,-0.000879,-0.000440,0.000000,0.442122,-0.052360,0.000000
0.720000,-0.000891,-0.000446,0.000000,0.441966,-0.052360,0.000000
0.730000,-0.000903,-0.000452,0.000000,0.441808,-0.052360,0.000000
0.740000,-0.000915,-0.000458,0.000000,0.441647,-0.052360,0.000000
0.750000,-0.000927,-0.000464,0.000000,0.441484,-0.052360,0.000000
0.760000,-0.000939,-0.000469,0.000000,0.441319,-0.052360,0.000000
0.770000,-0.000951,-0.000475,0.000000,0.441152,-0.052360,0.000000
0.780000,-0.000963,-0.000481,0.000000,0.440983,-0.052360,0.000000
0.790000,-0.000975,-0.000487,0.000000,0.440812,-0.052360,0.000000
0.800000,-0.000987,-0.000493,0.000000,0.440638,-0.052360,0.000000
0.810000,-0.000998,-0.000499,0.000000,0.440462,-0.052360,0.000000
0.820000,-0.001010,-0.000505,0.000000,0.440285,-0.052360,0.000000
0.830000,-0.001022,-0.000511,0.000000,0.440104,-0.052360,0.000000
0.840000,-0.001034,-0.000517,0.000000,0.439922,-0.052360,0.000000
0.850000,-0.001046,-0.000523,0.000000,0.439738,-0.052360,0.000000
0.860000,-0.001057,-0.000529,0.000000,0.439551,-0.052360,0.000000
0.870000,-0.001069,-0.000535,0.000000,0.439363,-0.052360,0.000000
0.880000,-0.001081,-0.000540,0.000000,0.439172,-0.052360,0.000000
0.890000,-0.001093,-0.000546,0.000000,0.438979,-0.052360,0.000000
0.900000,-0.001104,-0.000552,0.000000,0.438784,-0.052360,0.000000
0.910000,-0.001116,-0.000558,0.000000,0.438586,-0.052360,0.000000
0.920000,-0.001128,-0.000564,0.000000,0.438387,-0.052360,0.000000
0.930000,-0.001139,-0.000570,0.000000,0.438185,-0.052360,0.000000
0.940000,-0.001151,-0.000575,0.000000,0.437982,-0.052360,0.000000
0.950000,-0.001163,-0.000581,0.000000,0.437776,-0.052360,0.000000
0.960000,-0.001174,-0.000587,0.000000,0.437568,-0.052360,0.000000
0.970000,-0.001186,-0.000593,0.000000,0.437357,-0.052360,0.000000
0.980000,-0.001197,-0.000599,0.000000,0.437145,-0.052360,0.000000
0.990000,-0.001209,-0.000604,0.000000,0.436931,-0.052360,0.000000
1.000000,-0.001220,-0.000610,0.000000,0.436714,-0.052360,0.000000
1.010000,-0.001232,-0.000616,0.000000,0.436495,-0.052360,0.000000
1.020000,-0.001243,-0.000622,0.000000,0.436274,-0.052360,0.000000
1.030000,-0.001255,-0.000627,0.000000,0.436051,-0.052360,0.000000
1.040000,-0.001266,-0.000633,0.000000,0.435826,-0.052360,0.000000
1.050000,-0.001277,-0.000639,0.000000,0.435599,-0.052360,0.000000
1.060000,-0.001289,-0.000644,0.000000,0.435369,-0.052360,0.000000
1.070000,-0.001300,-0.000650,0.000000,0.435137,-0.052360,0.000000
1.080000,-0.001311,-0.000656,0.000000,0.434904,-0.052360,0.000000
1.090000,-0.001323,-0.000661,0.000000,0.434668,-0.052360,0.000000
1.100000,-0.001334,-0.000667,0.000000,0.434430,-0.052360,0.000000
1.110000,-0.001345,-0.000673,0.000000,0.434189,-0.052360,0.000000
1.120000,-0.001356,-0.000678,0.000000,0.433947,-0.052360,0.000000
1.130000,-0.001368,-0.000684,0.000000,0.433703,-0.052360,0.000000
1.140000,-0.001379,-0.000689,0.000000,0.433456,-0.052360,0.000000
1.150000,-0.001390,-0.000695,0.000000,0.433207,-0.052360,0.000000
1.160000,-0.001401,-0.000701,0.000000,0.432956,-0.052360,0.000000
1.170000,-0.001412,-0.000706,0.000000,0.432703,-0.052360,0.000000
1.180000,-0.001423,-0.000712,0.000000,0.432448,-0.052360,0.000000
1.190000,-0.001434,-0.000717,0.000000,0.432191,-0.052360,0.000000
1.200000,-0.001445,-0.000723,0.000000,0.431932,-0.052360,0.000000
1.210000,-0.001456,-0.000728,0.000000,0.431670,-0.052360,0.000000
1.220000,-0.001467,-0.000734,0.000000,0.431407,-0.052360,0.000000
1.230000,-0.001478,-0.000739,0.000000,0.431141,-0.052360,0.000000
1.240000,-0.001489,-0.000745,0.000000,0.430873,-0.052360,0.000000
1.250000,-0.001500,-0.000750,0.000000,0.430603,-0.052360,0.000000
