beta1,beta2,beta3,alpha1,alpha2,alpha3,fx,fy,fz,pos_error_norm
-0.139573,-0.062192,0.000000,-0.234616,-3.182586,0.000000,0.183545,0.178014,-0.296979,0.028060
-0.134353,-0.059157,0.000000,5.019878,4.287672,0.000000,-0.015756,0.308817,-0.165893,0.023455
-0.070043,-0.036784,0.000000,-0.216386,2.802922,0.000000,-0.206243,0.138707,0.146411,0.042874
-0.120219,-0.064508,0.000000,-1.719979,-3.890161,0.000000,0.344137,-0.067478,0.336070,0.011662
-0.133566,-0.060551,0.000000,0.326036,1.729542,0.000000,0.180847,0.294355,-0.329110,0.024606
-0.134866,-0.066431,0.000000,-2.290606,-1.999188,0.000000,0.235207,-0.294368,0.168478,0.024256
-0.078325,-0.047440,0.000000,1.463113,3.887194,0.000000,0.170216,0.279916,-0.121694,0.043732
-0.078897,-0.037597,0.000000,6.718264,3.715228,0.000000,-0.134785,0.218523,-0.209919,0.042946
-0.106346,-0.061459,0.000000,-2.077411,-1.644711,0.000000,-0.066406,-0.136034,-0.203862,0.028997
-0.108540,-0.045228,0.000000,-4.206163,-2.766179,0.000000,-0.197232,-0.177292,-0.356751,0.008906
-0.105437,-0.044320,0.000000,5.884491,4.668900,0.000000,0.169896,-0.049433,-0.013143,0.017161
-0.096927,-0.053882,0.000000,-2.960020,-3.598763,0.000000,-0.230061,0.143177,-0.324710,0.030735
-0.118010,-0.048804,0.000000,-7.173124,-4.329297,0.000000,0.412731,-0.164487,0.096384,0.020588
-0.086790,-0.039717,0.000000,-0.917670,1.895620,0.000000,0.060063,-0.029777,0.057367,0.031786
-0.095331,-0.063268,0.000000,1.362967,-0.728646,0.000000,-0.090665,-0.412567,-0.066265,0.051911
-0.110334,-0.065049,0.000000,2.786291,0.886722,0.000000,0.412881,0.050742,0.102544,0.028428
-0.098877,-0.061607,0.000000,-2.715730,-3.571149,0.000000,0.048157,-0.156891,0.149183,0.012607
